user_id,movie_id,rating
1,137,5.0
1,102,5.0
1,15,4.0
1,144,5.0
1,106,3.5
1,112,3.0
1,22,2.0
1,71,2.0
1,60,5.0
1,141,4.0
1,96,4.0
1,126,3.0
1,69,1.5
1,41,5.0
1,92,3.5
1,8,2.0
1,127,3.0
1,95,5.0
1,139,4.0
1,109,2.5
1,40,2.5
1,77,2.0
1,6,5.0
1,29,2.0
1,101,1.5
1,104,4.5
1,59,4.5
1,78,4.0
1,39,3.0
1,23,3.5
1,79,2.0
1,97,5.0
1,67,2.5
1,129,2.5
1,99,3.5
1,48,4.0
1,123,2.5
1,117,2.0
1,61,5.0
1,46,4.0
2,26,5.0
2,103,2.0
2,66,4.0
2,54,3.0
2,39,3.5
2,91,4.0
2,50,1.5
2,17,3.5
2,22,2.5
2,142,3.0
2,133,3.0
2,104,2.5
2,34,5.0
2,144,1.5
2,117,4.5
2,108,2.0
2,19,4.0
2,132,1.5
2,67,2.5
2,29,5.0
2,40,1.5
2,85,3.5
2,28,5.0
2,127,3.0
3,137,2.0
3,75,3.0
3,56,2.5
3,38,5.0
3,40,5.0
3,65,3.5
3,49,1.5
3,6,5.0
3,123,5.0
3,132,5.0
3,27,2.0
3,71,3.5
3,19,3.5
3,98,2.0
3,39,5.0
3,95,2.0
3,105,5.0
3,111,4.0
3,134,4.5
3,37,5.0
3,8,2.5
3,119,3.0
3,140,3.0
3,26,2.5
3,10,2.0
3,59,3.5
3,146,2.0
3,133,4.5
3,109,3.0
3,73,1.5
3,43,4.0
3,112,4.0
4,100,2.5
4,142,2.5
4,43,3.0
4,136,2.5
4,4,2.5
4,82,4.0
4,95,3.5
4,17,5.0
4,20,3.0
4,63,3.0
4,143,4.5
4,89,2.0
4,137,1.5
4,121,4.0
4,70,3.5
4,119,3.0
4,3,3.5
4,124,3.5
4,120,4.5
4,33,4.5
4,78,3.5
4,90,2.5
4,127,5.0
4,62,2.0
4,55,3.5
4,60,2.0
4,94,1.5
5,8,3.0
5,28,4.5
5,32,4.5
5,33,4.0
5,85,5.0
5,61,3.0
5,9,3.5
5,53,3.0
5,76,5.0
5,19,4.0
5,123,1.5
5,10,2.0
5,135,5.0
5,124,4.5
5,132,2.0
5,145,3.5
5,119,5.0
5,117,4.0
5,93,3.5
5,25,4.5
5,79,3.0
5,126,2.5
5,68,1.0
5,55,2.5
5,92,4.0
5,34,5.0
5,71,3.5
5,51,1.0
5,45,2.0
5,54,3.5
5,101,1.5
5,38,3.0
5,140,2.5
5,134,3.0
5,72,2.0
5,46,3.0
5,82,4.5
5,125,4.0
5,97,2.5
5,118,5.0
5,94,2.0
5,35,4.0
6,59,4.0
6,51,3.5
6,109,2.0
6,77,1.5
6,138,2.0
6,116,2.5
6,67,4.5
6,50,3.5
6,145,2.5
6,107,4.0
6,140,3.5
6,19,5.0
6,127,2.0
6,95,1.5
6,83,3.0
6,103,4.0
6,3,2.5
6,63,2.5
6,123,4.5
6,40,5.0
6,57,2.0
6,39,5.0
7,126,2.5
7,9,2.0
7,121,2.5
7,136,3.0
7,117,3.0
7,107,2.5
7,125,5.0
7,7,1.0
7,29,3.5
7,19,4.5
7,75,5.0
7,114,3.5
7,94,2.0
7,23,2.5
7,112,4.0
7,27,2.0
7,39,1.5
7,109,5.0
7,145,4.5
7,91,3.5
7,92,3.0
7,129,3.5
7,26,5.0
7,15,3.0
7,69,3.0
7,119,3.5
7,96,1.0
7,84,2.0
7,22,4.0
7,140,2.0
7,45,3.0
7,85,3.0
7,98,3.0
7,139,2.0
7,60,1.0
7,71,3.0
7,17,4.5
7,18,2.5
7,43,2.5
7,47,4.0
7,62,1.0
7,86,2.0
7,90,1.0
7,58,1.0
7,57,3.0
8,104,1.5
8,108,3.5
8,56,4.0
8,94,2.0
8,2,4.0
8,32,2.0
8,72,5.0
8,27,2.5
8,123,4.5
8,146,4.5
8,75,4.5
8,22,3.0
8,67,3.0
8,13,1.0
8,115,3.5
8,64,4.5
8,70,5.0
8,24,1.5
8,29,3.5
8,132,2.0
8,7,2.0
8,36,1.5
8,49,3.5
8,78,4.0
8,71,5.0
8,14,2.5
8,38,1.5
8,126,3.5
8,101,3.0
8,103,2.0
8,109,2.5
9,110,3.5
9,133,5.0
9,105,5.0
9,141,3.0
9,112,4.0
9,130,2.0
9,20,2.5
9,50,1.5
9,71,3.0
9,94,2.5
9,142,3.5
9,144,3.0
9,39,5.0
9,107,4.5
9,40,5.0
9,23,2.5
9,9,3.0
9,59,3.0
9,54,2.5
9,46,3.5
9,115,3.5
9,16,4.0
9,117,3.5
9,136,4.0
9,122,3.0
9,8,2.5
9,11,2.0
9,19,4.5
9,99,3.0
9,104,4.0
9,106,1.5
9,36,5.0
9,83,2.0
9,127,2.0
9,1,2.5
9,67,3.0
9,92,1.5
9,5,2.5
9,48,4.0
9,132,4.0
9,91,3.0
9,125,2.5
10,50,3.0
10,24,5.0
10,125,3.5
10,43,2.5
10,83,5.0
10,111,2.0
10,110,3.0
10,68,2.5
10,73,3.5
10,147,3.0
10,90,5.0
10,116,3.0
10,129,2.5
10,25,5.0
10,20,1.5
10,89,4.5
10,141,3.0
10,79,4.5
10,67,2.0
10,8,2.5
10,9,4.0
10,35,2.5
10,13,1.0
10,70,3.0
10,80,5.0
10,51,3.5
11,109,2.5
11,23,2.0
11,8,3.0
11,20,2.5
11,135,5.0
11,2,4.5
11,29,5.0
11,5,4.0
11,17,5.0
11,90,2.0
11,36,1.5
11,78,3.0
11,83,4.0
11,125,4.0
11,1,2.5
11,126,3.5
11,26,4.0
11,117,5.0
11,40,2.0
11,68,3.5
11,86,2.0
11,146,5.0
11,54,5.0
11,121,4.0
11,50,4.5
11,120,3.5
11,85,1.0
11,32,2.0
11,62,2.0
11,52,3.5
11,15,3.5
11,9,4.0
12,36,2.0
12,86,5.0
12,82,5.0
12,62,5.0
12,90,5.0
12,98,2.0
12,83,5.0
12,105,1.5
12,145,3.0
12,65,3.5
12,79,4.5
12,3,2.5
12,112,2.5
12,80,5.0
12,63,4.0
12,19,2.5
12,127,3.5
12,91,2.5
12,23,5.0
12,142,2.5
12,25,5.0
12,27,2.5
12,123,3.0
12,131,1.5
12,30,2.0
12,72,3.5
12,100,2.5
12,126,4.5
12,59,2.0
12,101,3.0
12,99,2.5
12,110,1.5
12,20,1.0
12,130,2.5
12,124,3.5
12,113,2.5
12,28,2.5
12,102,2.5
12,5,3.0
12,146,3.5
12,52,2.5
12,95,2.0
13,20,2.5
13,120,3.5
13,88,5.0
13,83,5.0
13,24,5.0
13,38,3.0
13,121,1.5
13,86,5.0
13,98,1.5
13,45,3.5
13,60,5.0
13,62,5.0
13,102,4.5
13,104,4.0
13,29,2.0
13,139,2.5
13,22,5.0
13,129,3.0
13,21,5.0
13,41,4.5
13,25,5.0
13,63,2.0
13,71,2.0
13,43,3.5
13,99,3.5
14,97,1.5
14,67,5.0
14,62,1.5
14,77,5.0
14,22,2.5
14,145,2.5
14,126,2.5
14,113,2.5
14,17,3.0
14,134,5.0
14,49,2.0
14,6,4.0
14,123,5.0
14,100,1.5
14,115,3.0
14,29,3.0
14,135,1.5
14,63,4.0
14,98,3.0
14,1,3.0
15,132,5.0
15,111,4.5
15,146,3.0
15,74,2.5
15,99,2.0
15,40,5.0
15,140,2.5
15,47,3.5
15,110,1.0
15,53,4.5
15,79,2.5
15,107,4.5
15,70,3.0
15,134,4.5
15,55,2.0
15,97,3.0
15,44,2.0
15,59,4.0
15,20,3.0
15,16,4.0
15,101,4.5
15,98,3.0
15,100,2.0
15,4,3.0
15,42,4.5
15,33,3.0
15,115,2.0
15,129,4.0
15,37,5.0
15,19,5.0
15,38,5.0
16,116,5.0
16,72,3.5
16,68,3.5
16,34,2.0
16,97,4.0
16,44,2.5
16,36,1.0
16,87,2.5
16,62,2.0
16,31,4.0
16,122,5.0
16,127,5.0
16,25,2.5
16,2,3.5
16,50,3.5
16,120,5.0
16,125,4.5
16,20,3.5
16,117,2.5
16,17,5.0
16,57,1.5
16,147,2.5
16,27,2.5
16,23,2.5
16,64,3.0
16,92,4.0
16,137,1.5
16,145,4.5
16,11,1.0
16,39,1.0
16,129,3.0
16,100,3.0
16,124,5.0
16,26,5.0
16,81,2.5
16,75,5.0
16,105,1.5
16,98,3.5
16,146,4.5
16,74,4.5
16,13,1.0
16,107,1.0
16,142,3.0
16,48,3.5
16,66,5.0
17,121,4.0
17,60,3.5
17,146,5.0
17,21,2.0
17,95,4.0
17,67,2.0
17,59,4.0
17,129,2.5
17,144,4.5
17,31,2.5
17,36,1.0
17,47,3.5
17,107,3.0
17,79,3.0
17,77,2.5
17,122,3.5
17,103,4.0
17,5,2.5
17,8,3.0
17,86,3.0
17,71,5.0
17,44,3.0
17,61,3.5
17,110,3.5
18,64,4.5
18,27,2.5
18,21,3.5
18,126,3.5
18,50,4.0
18,54,4.0
18,9,3.5
18,53,5.0
18,42,1.0
18,86,3.0
18,31,4.5
18,129,3.5
18,136,4.0
18,16,4.0
18,17,2.5
18,19,4.5
18,88,2.0
18,125,4.5
18,113,3.5
18,121,4.5
18,75,3.5
18,147,1.5
18,8,2.5
18,60,2.0
18,52,5.0
19,83,5.0
19,48,2.0
19,55,1.0
19,61,3.0
19,21,5.0
19,24,5.0
19,90,5.0
19,62,4.0
19,26,2.5
19,94,3.0
19,34,2.0
19,110,2.5
19,131,3.0
19,84,5.0
19,88,4.0
19,13,1.5
19,136,3.0
19,130,1.0
19,2,2.0
19,10,1.5
19,89,5.0
19,7,2.0
19,93,4.0
19,116,3.5
19,81,5.0
19,78,2.0
19,101,2.5
19,51,1.5
19,126,4.5
19,58,3.5
19,82,5.0
19,40,2.5
20,72,5.0
20,34,1.5
20,20,4.0
20,29,2.5
20,53,5.0
20,14,5.0
20,139,3.5
20,61,1.0
20,120,3.5
20,143,3.5
20,12,3.5
20,96,1.5
20,129,4.5
20,91,2.0
20,64,5.0
20,5,3.5
20,73,5.0
20,146,5.0
20,141,2.0
20,6,2.0
20,106,4.0
20,49,2.0
20,132,2.5
20,7,2.5
20,137,1.0
20,123,4.5
20,17,2.5
20,9,2.5
20,22,4.0
20,134,4.0
20,77,4.0
20,59,1.0
20,67,5.0
20,10,3.5
20,140,2.0
21,30,2.5
21,12,2.5
21,23,5.0
21,16,3.0
21,25,5.0
21,84,5.0
21,128,3.5
21,82,5.0
21,86,5.0
21,104,3.5
21,85,5.0
21,119,2.0
21,137,2.5
21,55,3.0
21,21,5.0
21,28,1.5
21,71,1.5
21,136,1.5
21,61,2.0
21,97,2.5
21,24,5.0
21,48,2.5
21,87,3.5
21,88,5.0
21,70,2.0
21,90,5.0
21,134,1.5
21,81,4.5
21,147,4.5
21,80,5.0
21,79,4.5
21,67,2.5
21,17,2.5
21,89,5.0
21,35,3.0
21,93,4.5
21,8,1.5
21,145,3.5
21,68,2.5
21,130,2.0
21,69,2.5
21,9,2.5
22,72,2.5
22,119,1.5
22,114,3.0
22,122,5.0
22,67,3.0
22,123,4.0
22,34,3.5
22,54,5.0
22,26,5.0
22,70,3.5
22,57,2.0
22,115,3.5
22,47,4.0
22,40,1.0
22,19,5.0
22,66,4.0
22,46,4.0
22,33,3.5
22,116,4.0
22,136,4.0
22,74,3.0
22,98,4.0
22,129,3.5
23,141,4.0
23,55,2.0
23,88,2.0
23,47,2.0
23,29,2.5
23,35,2.0
23,8,2.0
23,142,3.5
23,61,5.0
23,126,2.0
23,100,1.5
23,34,2.0
23,30,2.5
23,121,3.0
23,44,4.0
23,139,4.0
23,23,2.0
23,99,2.5
